Dept_Code,Dept_Name,Note,M&E_type,BCC_Replacement,Contract_Status,Vendor,Contract_No,Contract_Link,Project_Code,Project_Name,Object_Code,Object_Name,Object_Type,FY2027_Proposed,Fund_code,activity
00112010,Eagle Springs Golf and Recreation Center,Golf Lift,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"13,000.00",001,Culture and Recreation
10116002,Engineering Services,,,,,,,,,,512000,Regular Salaries & Wages,Personnel Services,"1,515,351.00",101,Transportation
10116002,Engineering Services,Employer payroll taxes include the County's required contributions for Social Security (FICA) and Medicare. Contributions are budgeted using federally established tax rates applicable to eligible employee compensation.,,,,,,,,,521000,FICA Taxes & Medicare,Personnel Services,"115,933.00",101,Transportation
00117000,Building Construction and Maintenance,"52"" Lawn Mower",Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"11,000.00",001,General Government
00106000,Human Resources,SUV - Replacement,Vehicle,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"31,000.00",001,General Government
10116002,Engineering Services,Employer retirement contribution rates are established annually by the Florida Legislature in accordance with state law and are applied based on each employee's FRS membership class.,,,,,,,,,522000,Retirement Contributions,Personnel Services,"237,325.00",101,Transportation
10528000,Mosquito Control,,,,,,,,,,564000,Machinery & Equipment,Capital Outlay,,105,Human Services
00112010,Eagle Springs Golf and Recreation Center,Reel Grinder,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"68,000.00",001,Culture and Recreation
10116002,Engineering Services,Employer contributions for employee life and health insurance are budgeted based on the County's adopted benefit plans and applicable coverage elections.,,,,,,,,,523000,Life & Health Insurance,Personnel Services,"212,454.00",101,Transportation
10116002,Engineering Services,"Workers' compensation premiums are budgeted based on employee classifications, payroll, and rates established by the County's workers' compensation insurance provider.",,,,,,,,,524000,Workers Compensation,Personnel Services,"2,055.00",101,Transportation
11141050,Tourism Public Safety,Sheriff Beach Patrol,,,,,,,10622,,534000,Other Services,Operating Expenditures,"3,050,000.00",111,Economic Environment
00111001,Emergency Management,UTV (BCC10404),Equipment,10404,,,,,,,564000,Machinery & Equipment,Capital Outlay,"15,000.00",001,Public Safety
10116002,Engineering Services,,,,,,,,,,540000,Travel & Per Diem,Operating Expenditures,"7,500.00",101,Transportation
10116002,Engineering Services,,,,,,,,,,542000,Freight & Postage Services,Operating Expenditures,0.00,101,Transportation
10116002,Engineering Services,,,,,,,,,,544000,Rentals & Leases,Operating Expenditures,"20,000.00",101,Transportation
10116002,Engineering Services,,,,,,,,,,546000,Repair & Maintenance,Operating Expenditures,"25,000.00",101,Transportation
11141040,Communications,,,,,,,,,,551000,Office Supplies,Operating Expenditures,100.00,111,Economic Environment
11141060,Marketing,,,,,,,,,,552000,Operating Supplies,Operating Expenditures,"6,000.00",111,Economic Environment
10116001,Public Works,,,,,,,,,,552002,Fuel,Operating Expenditures,"300,000.00",101,Transportation
00111001,Emergency Management,Harris XL 200,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"10,000.00",001,Public Safety
00119000,Environmental Services,ATV Trailer,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"2,500.00",001,Physical Environment
