Dept_Code,Dept_Name,Note,Project_Name,Revenue_Code,Revenue_Name,Revenue_Type,FY2027_Proposed,Fund_code
001347,Eagle Springs Golf and Recreation Center,,,347203,Cart Fees,Charges for Services,"330,000.00",001
001347,Eagle Springs Golf and Recreation Center,,,347204,Pro Shop Sales,Charges for Services,"10,000.00",001
001347,Eagle Springs Golf and Recreation Center,,,347208,Pro Shop Sales,Charges for Services,"50,000.00",001
001347,Eagle Springs Golf and Recreation Center,,,347210,Golf Course Non-Taxable,Charges for Services,"20,000.00",001
001347,Eagle Springs Golf and Recreation Center,,,347211,Pool Entry Fees,Charges for Services,0.00,001
001347,Eagle Springs Grill,,,347205,Grill Food Revenue,Charges for Services,"295,000.00",001
001347,Eagle Springs Grill,,,347206,Grill Beverage Revenue,Charges for Services,"135,000.00",001
001347,Eagle Springs Grill,,,347207,Restaurant Sales,Charges for Services,0.00,001
001347,Eagle Springs Grill,,,347209,Restaurant Non-Taxable,Charges for Services,"10,000.00",001
107381,Walton County Sheriff's Office,Property Tax,,381000,Interfund Group Transfer In,Other Sources,"98,004,256.00",107
107335,Walton County Sheriff's Office,,,335210,Supplemental Fire Support,Intergovernmental Revenues,"10,000.00",107
107311,Walton County Sheriff's Office,,,311001,Ad Valorem Taxes Delinquent,General Government Taxes,0.00,107
107311,Walton County Sheriff's Office,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,0.00,107
107337,Walton County Sheriff's Office,"Reimbursements from Walton County School District, Gateway Academny, and Ohana Institute",,337200,Resource Officer,Intergovernmental Revenues,"1,370,000.00",107
107342,Walton County Sheriff's Office,,,342300,Housing Prisoners Revenue,Charges for Services,"3,500,000.00",107
107331,Walton County Sheriff's Office,,,331200,Federal Grant (Public Safety),Intergovernmental Revenues,0.00,107
107342,Walton County Sheriff's Office,,,342901,Prisoner Work Detail,Charges for Services,"58,972.00",107
107343,Walton County Sheriff's Office,,,343410,MSBU Fees,Charges for Services,"1,400,000.00",107
001369,Code Compliance,"Managed Beach Vendor Revenue $1,530,000 committed to Board initiatives",10647,329004,Beach Vending Permits,Permits Fees and Special Assessments,0.01,001
107346,Walton County Sheriff's Office,,,346400,Animal Shelter Fees,Charges for Services,"18,000.00",107
107359,Walton County Sheriff's Office,,,359000,Civil Process Fees,"Judgments, Fines and Forfeits","60,000.00",107
107361,Walton County Sheriff's Office,,,361100,Interest,Miscellaneous Revenue,"1,000,000.00",107
107361,Walton County Sheriff's Office,,,361108,Interest (Sheriff),Miscellaneous Revenue,"500,000.00",107
107364,Walton County Sheriff's Office,,,364001,Surplus Equipment Sales,Miscellaneous Revenue,"100,000.00",107
107369,Walton County Sheriff's Office,Funds returned to the County for payments or expenditures made in a previous fiscal year.,,369300,Refund of Prior Year Expenditures,Miscellaneous Revenue,"5,000.00",107
107369,Walton County Sheriff's Office,,,369900,Miscellaneous Revenue,Miscellaneous Revenue,"500,000.00",107
107389,Walton County Sheriff's Office,,,389000,Nonoperating Balance Brought Forward,Other Sources,"4,130,000.00",107
